"model","train_median_error","test_median_error"
"Linear
Regression","0.129552455689168","0.134835764356221"
"Linear
Regression
Subset","0.1799232770038","0.178182943586089"
"Ridge
Regression","0.129668214500021","0.134397293703585"
"Lasso
Regression","0.129746829203866","0.134695826599411"
"Random
Forest","0.068952992550242","0.136241849816377"
"KNN","0.165498000110045","0.19152818918148"
"Ensemble","0.0963164706639137","0.13031372265741"
